id,name,artists,duration,bpm,energy,danceability
6gTrbqZnyljwXdYQTyBkSx,You Make Me Feel Like Dancing - Remastered,Leo Sayer,3:39,96,72,73
5LxvwujISqiB8vpRYv887S,I Want You Back,The Jackson 5,2:56,197,54,47
7kDUspsoYfLkWnZR7qwHZl,my ex's best friend (with blackbear),mgk,2:19,125,68,73
2asUFgWt0LtyxWf32JvMpD,britney in 07,blackbear,3:05,149,67,65
7GiiOiPUOpXCNWtPlTww3t,Waited 4 U - ODESZA Remix,Slow Magic,4:46,135,67,60
2hns6Dv29Yrg68AVTJiAyA,Who Knew - Edit,P!nk,3:28,140,73,69
44mZKiMzXbjNIpvulAlAK0,Dissolve,Łaszewo,4:39,110,88,73
1CYP6O5vXGnMC2xxRokw3i,STRANGERS,DLG.,2:37,98,54,60
76O7oz3bvW0WCBqXs9Tkuf,River Washed Hair,Zach Bryan,4:22,84,32,43
54JAMmH0gbqITnnorqN1WJ,75$72,Dogpark,3:29,149,79,57
7b3StKb6can7Y037c9HN4z,Aftermath - Edit,Dominic Fike,1:43,105,61,74
3gEukdUoZhIUqgE7fXlZzW,End of the Morning (feat. Evan Honer),Cameron Whitcomb,3:05,175,54,46
0s9nJWMFPjVssvIuDqOOlo,Wild Guess (Saloon Version),Ruel,2:44,117,62,68
50kY9njISacBSyPLyR8cwk,Tropics,Rainbow Kitten Surprise,4:53,169,73,51
5vPUv0xziXbV4lnWeVNXNq,Roommates,Malcolm Todd,3:35,110,29,76
3nEotpBFeXq0OJstuHzwDP,God Needs The Devil,Jonah Kagen,3:12,81,53,55
12zzqWVkgNwlMf8BJ577I7,Say My Name In Your Sleep,Maisie Peters,3:12,105,65,70
27mPguRzG1OcY4U69h1HJd,I Didn't Come Here To Leave,Chris Young,3:12,120,81,54
0Itp1ZawQfyMQj9pUECJWT,Old Tricks,Thomas Rhett,3:06,114,83,69
7G2u32iWqPhkg2u1z4WCZP,Headlights,In Color,2:50,94,79,53
2SGyf0hCuB81F85cHXuRjl,So Cold,Balu Brigada,3:21,111,77,66
6uu9VaSDuWBXsJx8VTmsOJ,you haunt me,Marzi,3:16,130,94,62
5b9G9i7ErsT9RhjQxiYQbr,my fault,Ethan Regan,2:45,120,27,70
2uvE4L5ZsYKpv8hbK4TIOt,MUTT,Leon Thomas,3:12,180,46,57
14vE2jfCftEjFCXjkTmplX,TIMEBOMB,Luke Wild,2:38,99,37,82
05z8e8P1cIPjiQukbfZUgd,time out,Jiwon,2:42,95,63,92
0FEEvBMcOAso0HLGRVrVJZ,Long Nights,moondoggy,3:54,183,54,37
17Az6lQEgxICVvHrr7VbAg,"Purple Teeth, The Bravery",Del Water Gap,3:05,102,71,73
5ViLKrbyL3HD6wsq3AB9eI,White Keys,Dominic Fike,2:24,82,55,71
730GhznXWwH802wyHVJoqi,lost myself 4 u,Thomas Day,3:50,102,49,46
1fAE0TQ3xblvOgnmM7yL1s,Head In The Clouds,BabyJake,2:28,139,58,78
0UlXfoMdNQRn6cFy16RI2d,SOS,Post Sex Nachos,3:04,164,89,41
6ZYugP2DbezWXqljjHp1Q5,Nothin' At All,Winyah,2:56,126,49,64
28bBFB4xgt1IwWEM4R2pvN,LUST DRUNK,SEBASTIAN PAUL,3:40,149,64,42
57HaB5Z4DId8ENrNDfUSiZ,It's Been You,Mindchatter,3:14,102,43,77
6w8e3T2VDNuwXTzQ87NrV7,Kerosene,Mindchatter,2:49,87,38,74
3mSmfRatQFPfg6UERTRkHd,Better than the Floor,Sam Barber,3:10,116,43,45
15pYj5ZiUJgBydzD7w6NbJ,Trouble Man,Marvin Gaye,3:49,107,42,68
6vLKVWEuOCQAWEaHv2yknm,Like I Like It,Mau P,3:44,128,97,74
29tKLZTDyHSxGV3vBjVugz,smoke,Łaszewo,2:46,94,84,62
6d42nLEA7M1HDs86A5IB2t,Rubbin Off The Paint x New Flesh,Srino n Fonda,2:21,170,82,76
7dqhCs9znNwfs8gzaASJpK,Hesitating,Malcolm Todd,2:25,126,44,48
49ttSix3w9y6xuFDtlVPdS,Take Me As I Come,Evan Honer,3:11,150,40,51
3HxEGE7XpzqTVHEui3IMyb,Restless Mind (feat. Avery Anna),Sam Barber,3:40,154,20,53
0JD3n5DxGyzfnLFiYW5APx,Ole Virginia,The Jack Wharff Band,2:17,137,82,64
5RNFqRIRnenJmBJD2MuHBh,Burn Me,Jonah Kagen,3:35,132,56,60
7IW0YwaqaIJUTkCsayk4cs,Madeline,Sons of Habit,3:54,89,61,70
4YssZJDemgkA1Tty80kDXK,Divine,Effin,3:52,120,84,73
1KZG1H1OCugGqIRmk1wF9m,Indigo (feat. Avery Anna),Sam Barber,4:46,83,33,50
0o1dN24Ve21OAyEQ9ObQso,Sunburn,HARBOUR,3:07,168,89,46
